Name,University,Course,Year,Season,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,Undergrad_score_Metric,work_ex (Months)
username1234,Iowa State University,Management Information System,2018,Fall,Admit,321,TOEFL,116,0.68,%,0
mohitgandhi2910,Iowa State University,Management Information System,2017,Fall,Admit,325,TOEFL,99,6.4,CGPA,8
Abhi2291,Iowa State University,Management Information System,2018,Fall,Admit,308,TOEFL,100,8.6,CGPA,34
Kishorkumar,Iowa State University,Management Information System,2018,Spring,Admit,313,TOEFL,106,7.58,CGPA,40
prasvj,Iowa State University,Management Information System,2017,Fall,Admit,307,IELTS,7,7.69,CGPA,33
Pooja2017,Iowa State University,Management Information System,2017,Fall,Admit,306,TOEFL,97,0.8,%,55
RitaSingh,Iowa State University,Management Information System,2017,Fall,Admit,305,TOEFL,99,0.72,%,72
kavyachelimella5,Iowa State University,Management Information System,2017,Fall,Admit,309,TOEFL,106,0.73,%,20
nickb,Iowa State University,Management Information System,2017,Fall,Admit,311,TOEFL,109,0.7,%,29
kum0207,Iowa State University,Management Information System,2017,Fall,Admit,309,TOEFL,97,0.77,%,43
Apoorva Purohit ,Iowa State University,Management Information System,2017,Fall,Admit,311,TOEFL,102,0.66,%,25
sarthakdm,Iowa State University,Management Information System,2017,Fall,Admit,315,TOEFL,100,8.06,CGPA,42
Pdhb,Iowa State University,Management Information System,2017,Fall,Admit,308,TOEFL,99,0.63,%,56
AniruthS,Iowa State University,Management Information System,2017,Fall,Admit,310,TOEFL,103,7.5,CGPA,20
Aashesh,Iowa State University,Management Information System,2018,Fall,Reject,308,IELTS,7.5,7.95,CGPA,18
ranitariki,Iowa State University,Management Information System,2018,Fall,Reject,304,TOEFL,96,9.24,CGPA,74
viky94,Iowa State University,Management Information System,2018,Fall,Reject,301,TOEFL,84,7.67,CGPA,50
Lux ,Iowa State University,Management Information System,2018,Fall,Reject,310,TOEFL,107,6.71,CGPA,12
Sugbug,Iowa State University,Management Information System,2019,Spring,Reject,304,TOEFL,104,8.7,CGPA,16
harishb08,Iowa State University,Management Information System,2018,Spring,Reject,310,TOEFL,106,6.89,CGPA,25
Eklavya,Iowa State University,Management Information System,2017,Fall,Reject,316,TOEFL,98,8.98,CGPA,22
Dhananjayn02,Iowa State University,Management Information System,2017,Fall,Reject,309,TOEFL,106,7.17,CGPA,29
Yaassh,Iowa State University,Management Information System,2017,Fall,Reject,318,TOEFL,113,5.97,CGPA,20
mathewjose228,Iowa State University,Management Information System,2017,Fall,Reject,313,TOEFL,101,0.66,%,17
zenith11,Iowa State University,Management Information System,2017,Fall,Reject,304,TOEFL,101,7.86,CGPA,8
kartik91827,Iowa State University,Management Information System,2017,Fall,Reject,320,TOEFL,112,0.57,%,48
dishan,Iowa State University,Management Information System,2017,Fall,Reject,306,TOEFL,90,7.23,CGPA,17
shiwoah,Iowa State University,Management Information System,2017,Spring,Reject,308,TOEFL,107,7.03,CGPA,11
HEMANTH2611,Iowa State University,Management Information System,2017,Spring,Reject,303,TOEFL,108,0.63,%,33
Ashwin53,Iowa State University,Management Information System,2017,Spring,Reject,314,TOEFL,101,7.35,CGPA,46
supradin,Iowa State University,Management Information System,2016,Fall,Reject,292,TOEFL,92,0.65,%,30
shweshri,Iowa State University,Management Information System,2016,Fall,Reject,305,TOEFL,92,0.71,%,36
varshbala9,Iowa State University,Management Information System,2016,Fall,Reject,303,IELTS,7,7.69,CGPA,22
pav1993,Iowa State University,Management Information System,2019,Fall,Interested,310,TOEFL,0,8.98,CGPA,35
vivekku9944,Iowa State University,Management Information System,2018,Fall,Interested,293,TOEFL,82,0.55,%,22
SB93,Iowa State University,Management Information System,2018,Spring,Interested,326,TOEFL,105,5.8,CGPA,28
sidd1694,Iowa State University,Management Information System,2019,Spring,Interested,316,IELTS,7.5,0.7,%,28
Aavishkar,Iowa State University,Management Information System,2019,Spring,Interested,300,TOEFL,101,7.5,CGPA,1
mrudulayb,Iowa State University,Management Information System,2017,Fall,Interested,307,TOEFL,105,0.65,%,0
Harish96,Iowa State University,Management Information System,2019,Spring,Interested,316,IELTS,7.5,7.26,CGPA,11
Sanja,Iowa State University,Management Information System,2019,Spring,Interested,310,TOEFL,101,0.6,%,25
mihir0412,Indiana University Bloomington,Management Information System,2018,Fall,Applied,315,TOEFL,110,8.6,CGPA,3
Ami0603,Indiana University Bloomington,Management Information System,2018,Fall,Applied,314,TOEFL,106,7.63,CGPA,6
Prteekwahi,Indiana University Bloomington,Management Information System,2018,Fall,Applied,321,TOEFL,112,0.72,%,28
samman,Indiana University Bloomington,Management Information System,2018,Fall,Applied,315,TOEFL,103,0.66,%,11
Sdh,Indiana University Bloomington,Management Information System,2018,Fall,Applied,318,TOEFL,112,0.8,%,16
GauravChatterjee,Indiana University Bloomington,Management Information System,2018,Fall,Applied,309,TOEFL,100,0.61,%,40
chandanus18,Indiana University Bloomington,Management Information System,2018,Fall,Applied,321,TOEFL,100,8.55,CGPA,37
vareddy,Indiana University Bloomington,Management Information System,2017,Fall,Applied,328,TOEFL,109,0.62,%,33
Dhwanil,Indiana University Bloomington,Management Information System,2018,Fall,Applied,318,TOEFL,106,7.36,CGPA,2
Kaneki,Indiana University Bloomington,Management Information System,2018,Fall,Applied,323,TOEFL,104,8.7,CGPA,7
akansha-srivastava,Indiana University Bloomington,Management Information System,2014,Fall,Applied,324,TOEFL,104,0.9,%,29
Jinx,Indiana University Bloomington,Management Information System,2018,Fall,Applied,319,TOEFL,105,6.8,CGPA,6
surpriseme,Indiana University Bloomington,Management Information System,2018,Fall,Applied,327,TOEFL,110,7.13,CGPA,39
rmure04,Indiana University Bloomington,Management Information System,2017,Spring,Applied,307,TOEFL,107,8,CGPA,18
Ray1007,Indiana University Bloomington,Management Information System,2017,Fall,Applied,316,TOEFL,104,0.9,%,38
rishabh92,Indiana University Bloomington,Management Information System,2017,Fall,Applied,316,TOEFL,112,0.65,%,29
Neha811,Indiana University Bloomington,Management Information System,2017,Fall,Applied,330,TOEFL,113,0.77,%,37
apsarkar,Indiana University Bloomington,Management Information System,2017,Fall,Applied, ,TOEFL,117,0.8,%,52
Raji1203,Indiana University Bloomington,Management Information System,2017,Fall,Applied,310,TOEFL,101,0.84,%,27
swatiawasthi,Indiana University Bloomington,Management Information System,2017,Fall,Applied,317,TOEFL,110,8.04,CGPA,24
shreyank96,Indiana University Bloomington,Management Information System,2018,Fall,Admit,325,TOEFL,116,8.48,CGPA,2
Adhishri,Indiana University Bloomington,Management Information System,2018,Fall,Admit,303,TOEFL,102,0.65,%,9
soumili,Indiana University Bloomington,Management Information System,2018,Fall,Admit,320,TOEFL,112,0.8,%,28
PavitraThacker,Indiana University Bloomington,Management Information System,2018,Fall,Admit,325,TOEFL,119,8.24,CGPA,0
anshul0414,Indiana University Bloomington,Management Information System,2018,Fall,Admit,316,TOEFL,103,0.81,%,13
suyashkhemka,Indiana University Bloomington,Management Information System,2018,Fall,Admit,323,TOEFL,103,7.92,CGPA,7
Adyasha1094,Indiana University Bloomington,Management Information System,2018,Fall,Admit,318,TOEFL,118,8.43,CGPA,30
Apu0929,Indiana University Bloomington,Management Information System,2018,Fall,Admit,326,TOEFL,115,9.38,CGPA,1
ashok05,Indiana University Bloomington,Management Information System,2018,Fall,Admit,319,TOEFL,113,9.3,CGPA,11
SukritG,Indiana University Bloomington,Management Information System,2018,Fall,Admit,313,TOEFL,111,8.5,CGPA,31
Krutika93,Indiana University Bloomington,Management Information System,2018,Fall,Admit,315,TOEFL,105,7.42,CGPA,0
Chk1919,Indiana University Bloomington,Management Information System,2018,Fall,Admit,319,IELTS,0,0.73,%,0
MayurDevil,Indiana University Bloomington,Management Information System,2018,Fall,Admit,319,TOEFL,112,7.52,CGPA,35
ketakireddy,Indiana University Bloomington,Management Information System,2013,Fall,Admit,312,TOEFL,113,0.65,%,0
sanketwalavalka,Indiana University Bloomington,Management Information System,2011,Fall,Admit, ,TOEFL,101,0.68,%,0
loveenvarghese,Indiana University Bloomington,Management Information System,2011,Fall,Admit,324,TOEFL,113,0.66,%,0
adityajagitani,Indiana University Bloomington,Management Information System,2012,Fall,Admit,316,TOEFL,100,0.62,%,0
Sonali2810,Indiana University Bloomington,Management Information System,2018,Fall,Reject,322,TOEFL,110,0.79,%,27
clinton30,Indiana University Bloomington,Management Information System,2018,Fall,Reject,317,TOEFL,114,0.62,%,36
Raksha-Wath,Indiana University Bloomington,Management Information System,2018,Fall,Reject,311,TOEFL,101,0.72,%,24
kkt270993,Indiana University Bloomington,Management Information System,2018,Fall,Reject,316,TOEFL,114,0.7,%,26
kramikg,Indiana University Bloomington,Management Information System,2018,Fall,Reject,312,TOEFL,108,7.14,CGPA,6
Shreepriya,Indiana University Bloomington,Management Information System,2018,Fall,Reject,312,TOEFL,110,8.6,CGPA,24
gauriyewale,Indiana University Bloomington,Management Information System,2018,Fall,Reject,312,TOEFL,105,0.65,%,18
vishal khatri,Indiana University Bloomington,Management Information System,2018,Fall,Reject,326,TOEFL,113,0.69,%,44
Kherdekar,Indiana University Bloomington,Management Information System,2018,Fall,Reject,324,TOEFL,110,0.64,%,16
darshit96,Indiana University Bloomington,Management Information System,2018,Fall,Reject,322,TOEFL,104,8.3,CGPA,0
Anju1234,Indiana University Bloomington,Management Information System,2018,Fall,Reject,319,TOEFL,113,0.73,%,26
Hardit,Indiana University Bloomington,Management Information System,2018,Fall,Reject,324,TOEFL,114,8.3,CGPA,30
sayalisurya6723,Indiana University Bloomington,Management Information System,2018,Fall,Reject,312,TOEFL,102,0.65,%,20
bara,Indiana University Bloomington,Management Information System,2018,Fall,Reject,320,TOEFL,108,0.65,%,41
rupam3,Indiana University Bloomington,Management Information System,2018,Fall,Reject,312,TOEFL,98,7.07,CGPA,14
sukritibharti,Indiana University Bloomington,Management Information System,2018,Fall,Reject,308,TOEFL,108,8.65,CGPA,36
hiback,Indiana University Bloomington,Management Information System,2018,Fall,Reject,314,TOEFL,108,0.71,%,28
samaksudhakar,Indiana University Bloomington,Management Information System,2018,Fall,Reject,306,TOEFL,99,8.79,CGPA,30
DarshG,Indiana University Bloomington,Management Information System,2018,Fall,Reject,315,TOEFL,101,9.81,CGPA,0
Abhiggg,Indiana University Bloomington,Management Information System,2018,Fall,Interested,314,TOEFL,100,8.5,CGPA,15
Sujesh,Indiana University Bloomington,Management Information System,2019,Fall,Interested,321,TOEFL,114,7.58,CGPA,38
Apoorva171996,Indiana University Bloomington,Management Information System,2019,Spring,Interested,302,TOEFL,100,0.71,%,0
diviraj,Indiana University Bloomington,Management Information System,2019,Spring,Interested,303,TOEFL,103,9,CGPA,2
aditi15,Indiana University Bloomington,Management Information System,2018,Fall,Interested,310,TOEFL,0,0.8,%,36
om92,"University of Minnesota, Twin Cities",Management Information System,2018,Spring,Applied, ,TOEFL,108,7.4,CGPA,44
Pankajnarcisst,"University of Minnesota, Twin Cities",Management Information System,2018,Fall,Applied,321,TOEFL,104,0.71,%,76
krishvw,"University of Minnesota, Twin Cities",Management Information System,2015,Fall,Applied,318,TOEFL,106,6.41,CGPA,0
lavinakh,"University of Minnesota, Twin Cities",Management Information System,2016,Fall,Applied,311,TOEFL,100,0,%,0
ovpathy,"University of Minnesota, Twin Cities",Management Information System,2016,Fall,Applied,326,TOEFL,106,7,CGPA,0
adityasingh92,"University of Minnesota, Twin Cities",Management Information System,2016,Fall,Applied,320,TOEFL,102,7,CGPA,30
utsavsharma1990,"University of Minnesota, Twin Cities",Management Information System,2016,Fall,Applied,308,TOEFL,88,7.06,CGPA,0
prasoonmathur1atgmail.com,"University of Minnesota, Twin Cities",Management Information System,2015,Fall,Applied,306,TOEFL,94,0.68,%,20
fanilgada,"University of Minnesota, Twin Cities",Management Information System,2016,Fall,Admit,309,TOEFL,102,0.71,%,30
vijayavjvjvj,"University of Minnesota, Twin Cities",Management Information System,2015,Fall,Admit,319,TOEFL,110,0.75,%,0
Prachigupta,"University of Minnesota, Twin Cities",Management Information System,2018,Fall,Reject,316,TOEFL,103,0.81,%,28
dpaulswa,"University of Minnesota, Twin Cities",Management Information System,2016,Fall,Reject,300,TOEFL,94,8.1,CGPA,29
sohilveljee.stupidsid,"University of Minnesota, Twin Cities",Management Information System,2013,Fall,Reject,321,TOEFL,113,8.83,CGPA,20
AnkitaGhosh,"University of Minnesota, Twin Cities",Management Information System,2019,Fall,Interested,296,TOEFL,97,8.85,CGPA,22
Sujesh,"University of Minnesota, Twin Cities",Management Information System,2019,Fall,Interested,321,TOEFL,114,7.58,CGPA,38
prabhu12456,"University of Minnesota, Twin Cities",Management Information System,2019,Spring,Interested,312,TOEFL,109,7.2,CGPA,33
Bubbloo,"University of Minnesota, Twin Cities",Management Information System,2019,Spring,Interested,304,TOEFL,106,0.87,%,60
Ram1199,"University of Minnesota, Twin Cities",Management Information System,2019,Spring,Interested,305,IELTS,7,0.62,%,8
shoaib123,"University of Minnesota, Twin Cities",Management Information System,2018,Spring,Interested,320,TOEFL,95,0.72,%,14
shaileshbh1984,"University of Minnesota, Twin Cities",Management Information System,2018,Fall,Interested, ,IELTS,0,0.55,%,124
Aavishkar,"University of Minnesota, Twin Cities",Management Information System,2019,Spring,Interested,300,TOEFL,101,7.5,CGPA,1
Jaindeepak2008,"University of Minnesota, Twin Cities",Management Information System,2018,Fall,Interested, ,IELTS,7,0.52,%,111
dhadwal,Northwestern University,Management Information System,2018,Fall,Applied,331,TOEFL,107,0.64,%,24
jprashant21,Northwestern University,Management Information System,2016,Fall,Applied,319,TOEFL,104,9.21,CGPA,30
grecs2016,Northwestern University,Management Information System,2017,Fall,Applied,317,TOEFL,105,0.8,%,60
akashjain,Northwestern University,Management Information System,2016,Fall,Applied,318,TOEFL,110,8.2,CGPA,20
suchinihar88,Northwestern University,Management Information System,2016,Fall,Applied,326,TOEFL,110,7.2,CGPA,50
thespunkdaemon,Northwestern University,Management Information System,2016,Fall,Applied,316,TOEFL,109,0.64,%,36
vijaymsinus123,Northwestern University,Management Information System,2016,Fall,Applied,326,TOEFL,104,7.79,CGPA,12
apoc802,Northwestern University,Management Information System,2015,Fall,Applied,311,TOEFL,99,7,CGPA,20
akashnahata,Northwestern University,Management Information System,2016,Fall,Applied,318,TOEFL,106,8.1,CGPA,30
yashwanth2212,Northwestern University,Management Information System,2016,Fall,Applied,317,TOEFL,104,7,CGPA,30
rapidstar5,Northwestern University,Management Information System,2016,Fall,Admit,311,TOEFL,101,0.62,%,54
saurabh484,Northwestern University,Management Information System,2016,Fall,Admit,318,TOEFL,105,6.8,CGPA,42
krishi591,Northwestern University,Management Information System,2015,Fall,Reject,314,TOEFL,95,0.58,%,0
pav1993,Northwestern University,Management Information System,2019,Fall,Interested,310,TOEFL,0,8.98,CGPA,35
ManeeshMettu,Northwestern University,Management Information System,2019,Fall,Interested,315,TOEFL,112,8.3,CGPA,12
vivekku9944,Northwestern University,Management Information System,2018,Fall,Interested,293,TOEFL,82,0.55,%,22
priyabalaji,Northwestern University,Management Information System,2019,Fall,Interested, ,IELTS,7.5,7.35,CGPA,0
Dishu31,Northwestern University,Management Information System,2019,Fall,Interested,315,TOEFL,100,7.54,CGPA,0
rhtchdhry,Northwestern University,Management Information System,2019,Spring,Interested, ,IELTS,7,0.72,%,29
aman2129,Northwestern University,Management Information System,2019,Fall,Interested,326,TOEFL,99,8.32,CGPA,12
Rishabhpanwar05,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Applied,329,TOEFL,110,7.4,CGPA,4
Prakirn,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Applied,321,TOEFL,104,6.54,CGPA,2
Tanvi2703,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Applied,302,TOEFL,104,6.15,CGPA,5
kenil,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Applied,323,TOEFL,110,8.55,CGPA,0
hrithik,Rensselaer Polytechnic Institute,Management Information System,2017,Fall,Applied,312,TOEFL,91,7.22,CGPA,30
SarveshT,Rensselaer Polytechnic Institute,Management Information System,2017,Spring,Applied,334,TOEFL,115,6.99,CGPA,60
akshay-arora,Rensselaer Polytechnic Institute,Management Information System,2016,Fall,Applied,320,TOEFL,104,0.75,%,30
priyanshi7,Rensselaer Polytechnic Institute,Management Information System,2016,Spring,Applied,328,TOEFL,117,8,CGPA,0
akashnahata,Rensselaer Polytechnic Institute,Management Information System,2016,Fall,Applied,318,TOEFL,106,8.1,CGPA,30
hanamana,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Admit,318,TOEFL,111,6.68,CGPA,6
prem23,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Admit,315,TOEFL,99,7.6,CGPA,0
jainpeeyush2017,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Admit,322,TOEFL,107,0.77,%,60
anmol03,Rensselaer Polytechnic Institute,Management Information System,2017,Fall,Admit,327,TOEFL,104,7.28,CGPA,9
amolkhade,Rensselaer Polytechnic Institute,Management Information System,2016,Fall,Admit,324,TOEFL,106,0.56,%,0
sandiep321,Rensselaer Polytechnic Institute,Management Information System,2016,Fall,Admit,317,IELTS,7,7.7,CGPA,34
priyankad23,Rensselaer Polytechnic Institute,Management Information System,2016,Fall,Admit,315,TOEFL,107,7.71,CGPA,0
shraddhasubhedar,Rensselaer Polytechnic Institute,Management Information System,2016,Fall,Admit,320,TOEFL,113,8.14,CGPA,0
sagarkhasnis.stupidsid,Rensselaer Polytechnic Institute,Management Information System,2013,Fall,Admit,319,TOEFL,114,0.6,%,30
tanveersachdeva.stupidsid,Rensselaer Polytechnic Institute,Management Information System,2013,Fall,Admit,322,TOEFL,110,0.65,%,10
network.burner,Rensselaer Polytechnic Institute,Management Information System,2015,Fall,Admit,313,TOEFL,100,0.62,%,10
ut0501,Rensselaer Polytechnic Institute,Management Information System,2015,Fall,Admit,321,TOEFL,113,7,CGPA,12
vvega89,Rensselaer Polytechnic Institute,Management Information System,2017,Fall,Reject,317,IELTS,7.5,0.59,%,50
sagarsingh244,Rensselaer Polytechnic Institute,Management Information System,2016,Fall,Reject,320,TOEFL,101,8.36,CGPA,0
vini54,Rensselaer Polytechnic Institute,Management Information System,2016,Fall,Reject,309,TOEFL,105,7.75,CGPA,0
vivekku9944,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Interested,293,TOEFL,82,0.55,%,22
Apoorva171996,Rensselaer Polytechnic Institute,Management Information System,2019,Spring,Interested,302,TOEFL,100,0.71,%,0
dJ93,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Interested,306,TOEFL,97,8.5,CGPA,34
skondepudi,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Interested,297,IELTS,7,6.87,CGPA,32
Ankurchintu,Rensselaer Polytechnic Institute,Management Information System,2019,Fall,Interested,315,IELTS,7.5,0.6,%,30
jazz1085,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Interested,297,TOEFL,97,0.68,%,87
HarshVC,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Interested,300,IELTS,7,9.6,CGPA,0
Shashi1512,Rensselaer Polytechnic Institute,Management Information System,2018,Fall,Interested,291,TOEFL,79,6.78,CGPA,32
bhumiii3,"Rutgers University, Newark",Management Information System,2018,Fall,Applied,297,TOEFL,98,6.08,CGPA,0
priya s,"Rutgers University, Newark",Management Information System,2018,Fall,Applied,304,TOEFL,102,8.5,CGPA,52
harsu,"Rutgers University, Newark",Management Information System,2018,Fall,Applied,309,TOEFL,93,7.3,CGPA,0
sayalic,"Rutgers University, Newark",Management Information System,2018,Fall,Applied, ,TOEFL,80,7.86,CGPA,1
manojs,"Rutgers University, Newark",Management Information System,2018,Fall,Applied,302,TOEFL,98,6.6,CGPA,18
goelsarthak,"Rutgers University, Newark",Management Information System,2018,Fall,Applied,303,TOEFL,99,0.72,%,40
dkb,"Rutgers University, Newark",Management Information System,2018,Spring,Applied,302,IELTS,6,8.56,CGPA,0
ParijaP,"Rutgers University, Newark",Management Information System,2017,Fall,Applied,309,TOEFL,99,0.69,%,17
dee051,"Rutgers University, Newark",Management Information System,2017,Fall,Applied,297,TOEFL,97,0.53,%,0
saptak,"Rutgers University, Newark",Management Information System,2017,Fall,Applied,299,TOEFL,100,0.55,%,25
Raj Masrani,"Rutgers University, Newark",Management Information System,2017,Fall,Applied,304,TOEFL,99,5.96,CGPA,0
kshitijsale,"Rutgers University, Newark",Management Information System,2017,Fall,Applied,302,TOEFL,100,0.6,%,18
DashDalvi,"Rutgers University, Newark",Management Information System,2017,Fall,Applied,310,TOEFL,100,6.5,CGPA,4
hranjan,"Rutgers University, Newark",Management Information System,2017,Fall,Applied,306,TOEFL,97,8.07,CGPA,26
munna463,"Rutgers University, Newark",Management Information System,2017,Spring,Applied,306,TOEFL,94,0.73,%,12
Sidaxelrod,"Rutgers University, Newark",Management Information System,2018,Fall,Applied,322,TOEFL,101,0.59,%,24
palashi19,"Rutgers University, Newark",Management Information System,2016,Fall,Applied,319,TOEFL,112,6,CGPA,0
czhirag,"Rutgers University, Newark",Management Information System,2016,Fall,Applied,318,TOEFL,98,0.63,%,0
malhota,"Rutgers University, Newark",Management Information System,2016,Fall,Applied,299,IELTS,7.5,0.78,%,0
Dhruv94,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,303,TOEFL,85,6.3,CGPA,6
arpita103,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,300,TOEFL,93,0.69,%,82
sailinaik,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,294,TOEFL,95,6.25,CGPA,12
MrPerfect ,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,294,TOEFL,90,6.6,CGPA,0
DivyaN21,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,298,TOEFL,95,0.67,%,30
shruti7,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,303,TOEFL,91,7.7,CGPA,1
abckfkjeso,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,303,TOEFL,0,0.6,%,14
Jaynee,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,293,TOEFL,95,7.3,CGPA,33
ReemaM,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,291,IELTS,6.5,0.67,%,27
Bhavesh14,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,294,TOEFL,93,0.54,%,35
Dipp1221,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,294,TOEFL,0,8.69,CGPA,16
Shveta,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,300,TOEFL,0,0.67,%,56
Shivam-Naik,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,295,TOEFL,0,0.64,%,26
DrashtiShah,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,308,TOEFL,95,3.5,CGPA,3
SamidhaSomu,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,297,TOEFL,101,6.8,CGPA,19
np-masters,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,306,TOEFL,0,0.64,%,31
Nehneh,"Rutgers University, Newark",Management Information System,2016,Fall,Admit,299,TOEFL,91,0.64,%,32
rmanek,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,310,TOEFL,96,0.56,%,36
Ritwin,"Rutgers University, Newark",Management Information System,2018,Fall,Admit,310,TOEFL,0,7.7,CGPA,2
kamakshi,"Rutgers University, Newark",Management Information System,2018,Fall,Reject,296,IELTS,6,0.6,%,36
Lux ,"Rutgers University, Newark",Management Information System,2018,Fall,Reject,310,TOEFL,107,6.71,CGPA,12
Proshonjit,"Rutgers University, Newark",Management Information System,2017,Fall,Reject,313,TOEFL,112,0.55,%,43
Rohan0901,"Rutgers University, Newark",Management Information System,2019,Spring,Interested,308,TOEFL,92,0.63,%,60
sulagna1994,"Rutgers University, Newark",Management Information System,2019,Spring,Interested,302,TOEFL,106,8.39,CGPA,24
sandeepyadav599,"Rutgers University, Newark",Management Information System,2020,Fall,Interested,310,TOEFL,92,5.5,CGPA,0
pav1993,"Rutgers University, Newark",Management Information System,2019,Fall,Interested,310,TOEFL,0,8.98,CGPA,35
ShubhamCfc,"Rutgers University, Newark",Management Information System,2019,Spring,Interested,302,TOEFL,98,0.73,%,40
dheerajraavi,"Rutgers University, Newark",Management Information System,2019,Spring,Interested,303,IELTS,8,7.02,CGPA,0
universalen1995,"Rutgers University, Newark",Management Information System,2019,Spring,Interested,292,TOEFL,90,6.52,CGPA,13
lokesh2334,"Rutgers University, Newark",Management Information System,2019,Spring,Interested,295,TOEFL,93,0.54,%,41
Advika,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,304,TOEFL,88,0.79,%,57
ashutoshshukla,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,313,TOEFL,106,0.64,%,59
753255,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,313,TOEFL,107,0.62,%,6
AmanNigam,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,308,TOEFL,93,0.81,%,27
sayalisurya6723,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,312,TOEFL,102,0.65,%,20
psahu,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,318,TOEFL,108,0.7,%,31
Sashank1005,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,306,TOEFL,104,0.8,%,20
gaurav995,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,311,TOEFL,102,0.77,%,0
----------,University at Buffalo SUNY,Management Information System,2018,Fall,Applied, ,TOEFL,102,8.87,CGPA,30
apurvakharate,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,305,TOEFL,91,0.64,%,15
Raghav11011,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,313,TOEFL,98,7.1,CGPA,32
skido04,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,304,TOEFL,105,3.69,CGPA,24
Kiah-kol,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,322,TOEFL,107,0.74,%,28
adipareshshah,University at Buffalo SUNY,Management Information System,2018,Fall,Applied, ,TOEFL,113,0.74,%,60
karan0011,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,307,TOEFL,95,0.65,%,48
pcar12,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,311,TOEFL,110,0.64,%,72
abhibogi,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,309,TOEFL,99,8.56,CGPA,0
Aman0098,University at Buffalo SUNY,Management Information System,2018,Fall,Applied,306,TOEFL,0,8.04,CGPA,40
pavithra25,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,308,TOEFL,105,0.85,%,60
Jaiwant,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,301,TOEFL,93,0.84,%,20
pmesh,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,320,TOEFL,117,0.59,%,30
JaySomaiya,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,317,TOEFL,110,6.93,CGPA,25
charvib,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,323,TOEFL,109,0.8,%,13
Anoosha P,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,304,TOEFL,83,0.79,%,18
Shweth94,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,310,TOEFL,90,0.71,%,6
Anand31,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,314,TOEFL,0,0.63,%,40
dGMaahi,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,318,IELTS,7.5,8.17,CGPA,0
Sudesh,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,314,TOEFL,96,8,CGPA,24
Vedang07,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,317,TOEFL,108,8.2,CGPA,0
Pavan1208,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,314,TOEFL,0,0.87,%,30
sayeejadhav,University at Buffalo SUNY,Management Information System,2018,Fall,Admit,310,TOEFL,102,0.6,%,26
